,goodreads_book_id,tag_id,count,tag_name,tag_count
0,53580,[15048],[10],['humor'],1
1,825377,"[25438, 26735]","[22, 22]","['realistic-fiction', 'school']",2
2,57605,"[7457, 7404]","[39, 11]","['classics', 'classic']",2
3,819667,"[15048, 26735]","[10, 4]","['humor', 'school']",2
4,120231,"[21773, 21689]","[14, 26]","['nonfiction', 'non-fiction']",2
5,232958,"[18640, 11221]","[12, 3]","['love', 'family']",2
6,16084702,"[1128, 24997]","[2, 2]","['5-stars', 'read-2015']",2
7,7797,"[7404, 15048]","[8, 14]","['classic', 'humor']",2
8,19552,"[21773, 21689]","[10, 43]","['nonfiction', 'non-fiction']",2
9,74862,"[7404, 923]","[5, 3]","['classic', '20th-century']",2
10,1350249,"[7457, 31557]","[2, 1]","['classics', 'unread']",2
11,335459,"[21773, 21689]","[12, 26]","['nonfiction', 'non-fiction']",2
12,901680,"[21773, 21689]","[7, 13]","['nonfiction', 'non-fiction']",2
13,914211,"[21773, 21689]","[49, 125]","['nonfiction', 'non-fiction']",2
14,1776251,"[21773, 21689]","[9, 47]","['nonfiction', 'non-fiction']",2
15,1376220,"[25506, 11221]","[2, 7]","['recommended', 'family']",2
16,270435,"[21773, 21689]","[12, 37]","['nonfiction', 'non-fiction']",2
17,3828382,"[25506, 21773, 21689]","[7, 117, 360]","['recommended', 'nonfiction', 'non-fiction']",3
18,502406,"[7457, 7404, 15048]","[10, 5, 5]","['classics', 'classic', 'humor']",3
19,16158498,"[25506, 21773, 21689]","[7, 127, 337]","['recommended', 'nonfiction', 'non-fiction']",3
20,1296415,"[12680, 26735, 18054]","[3, 5, 3]","['funny', 'school', 'library-books']",3
21,685401,"[25506, 21773, 21689]","[3, 27, 69]","['recommended', 'nonfiction', 'non-fiction']",3
22,579143,"[7457, 7404, 923]","[24, 7, 3]","['classics', 'classic', '20th-century']",3
23,120230,"[14764, 21773, 21689]","[2, 24, 40]","['home-library', 'nonfiction', 'non-fiction']",3
24,759611,"[7457, 7404, 26735]","[122, 51, 19]","['classics', 'classic', 'school']",3
25,766020,"[7457, 7404, 26735]","[84, 20, 23]","['classics', 'classic', 'school']",3
26,239388,"[7457, 15048, 11221]","[3, 5, 15]","['classics', 'humor', 'family']",3
27,155981,"[14764, 21773, 21689]","[3, 24, 92]","['home-library', 'nonfiction', 'non-fiction']",3
28,824204,"[7457, 7404, 26735]","[38, 77, 15]","['classics', 'classic', 'school']",3
29,1215290,"[18886, 7457, 7404]","[4, 47, 19]","['magic', 'classics', 'classic']",3
30,1070527,"[18886, 15048, 23037]","[2, 3, 2]","['magic', 'humor', 'part-of-a-series']",3
31,833550,"[7457, 7404, 26735]","[15, 7, 4]","['classics', 'classic', 'school']",3
32,845403,"[7457, 26735, 11221]","[17, 10, 34]","['classics', 'school', 'family']",3
33,1107001,"[14764, 21773, 21689]","[2, 10, 28]","['home-library', 'nonfiction', 'non-fiction']",3
34,867650,"[7457, 7404, 26735]","[10, 9, 3]","['classics', 'classic', 'school']",3
35,934700,"[7457, 15048, 14764]","[17, 11, 3]","['classics', 'humor', 'home-library']",3
36,46913,"[14764, 21773, 21689]","[2, 20, 48]","['home-library', 'nonfiction', 'non-fiction']",3
37,140131,"[7457, 7404, 26735]","[25, 8, 4]","['classics', 'classic', 'school']",3
38,56913,"[11978, 21773, 21689]","[1, 11, 24]","['finished', 'nonfiction', 'non-fiction']",3
39,48019,"[25506, 21773, 21689]","[3, 40, 126]","['recommended', 'nonfiction', 'non-fiction']",3
40,4212386,"[18640, 21773, 21689]","[3, 3, 4]","['love', 'nonfiction', 'non-fiction']",3
41,4948,"[7457, 7404, 26735]","[466, 168, 35]","['classics', 'classic', 'school']",3
42,857501,"[2104, 7457, 14764]","[4, 14, 5]","['all-time-favorites', 'classics', 'home-library']",3
43,14481,"[7457, 15048, 26735]","[10, 8, 6]","['classics', 'humor', 'school']",3
44,289029,"[5180, 21773, 21689]","[4, 8, 53]","['books-i-have', 'nonfiction', 'non-fiction']",3
45,239381,"[15048, 14764, 26735]","[2, 2, 2]","['humor', 'home-library', 'school']",3
46,31314,"[7457, 25147, 15048]","[4, 5, 10]","['classics', 'read-in-2011', 'humor']",3
47,765148,"[15048, 12680, 18054]","[16, 7, 5]","['humor', 'funny', 'library-books']",3
48,766955,"[15048, 12680, 26735]","[132, 55, 22]","['humor', 'funny', 'school']",3
49,820273,"[15048, 12680, 26735]","[25, 11, 7]","['humor', 'funny', 'school']",3
50,9722217,"[11978, 18640, 25822]","[11, 2, 1]","['finished', 'love', 'reviewed']",3
51,8343444,"[11978, 18640, 11221]","[3, 6, 4]","['finished', 'love', 'family']",3
52,7824768,"[11978, 21689, 25822]","[7, 4, 4]","['finished', 'non-fiction', 'reviewed']",3
53,7119070,"[11978, 18640, 31505]","[16, 13, 8]","['finished', 'love', 'unfinished']",3
54,900070,"[15048, 26735, 11221]","[2, 23, 8]","['humor', 'school', 'family']",3
55,920780,"[15048, 12680, 26735]","[39, 15, 4]","['humor', 'funny', 'school']",3
56,5557442,"[11978, 31505, 14552]","[11, 2, 3]","['finished', 'unfinished', 'history']",3
57,6871646,"[15048, 12680, 26735]","[45, 24, 18]","['humor', 'funny', 'school']",3
58,2501455,"[11978, 5180, 9484]","[7, 3, 2]","['finished', 'books-i-have', 'didn-t-finish']",3
59,2501453,"[11978, 31505, 22944]","[4, 3, 2]","['finished', 'unfinished', 'paperback']",3
